Song Name,Happy-Sad,Romance-Breakup,Motivational,Party,Artist_Aaron_Smith,Artist_Alan_Walker,Artist_Avicii,Artist_Bryan_Adams,Artist_Camila_Cabello,Artist_Chainsmokers,Artist_Charlie_Puth,Artist_Coldplay,Artist_DJ_Snake,Artist_Drake,Artist_Dua_Lipa,Artist_Ed_Sheeran,Artist_Ellie_Goulding,Artist_Eminem,Artist_Flo_Rida,Artist_George_Michael,Artist_Guns_N_Roses,Artist_Imagine_Dragons,Artist_John_Legend,Artist_Justin_Bieber,Artist_Kendrick_Lamar,Artist_Kina,Artist_Lady_Gaga,Artist_Lauv,Artist_Lewis_Capaldi,Artist_Linkin_Park,Artist_Lynyrd_Skynrd,Artist_Maroon5,Artist_Matthew_Mole,Artist_Michael_Buble,Artist_Naughty_Boy,Artist_One_Direction,Artist_Sean_Paul,Artist_Shakira,Artist_Shawn_Mendes,Artist_Sia,Artist_Sub_Urban,Artist_Taylor_Swift,Artist_The_Beetles,Artist_The_Cranberries,Artist_The_Weeknd,Artist_Tone_N_I,Artist_Vice_Stone,Artist_Welshly_Arms,Artist_Zedd,Timestamp_Very_Old,Timestamp_Old,Timestamp_New,Timestamp_Very_New
Memories,-0.5,-0.5,-0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Closer,0.6,0.8,0.0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rap God,0.5,0.0,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Steal My Girl,1.0,1.0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Love me like you do,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2U,0.4,0.8,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lose Yourself,0.0,0.0,1.0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Summer of 69,0.3,0.7,0.5,0.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hey Jude,-0.6,0.0,0.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Paper Cut,-0.6,-0.1,-0.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
