Song Name,Happy-Sad,Romance-Breakup,Motivational,Party,Maroon_5,The_ChainSmokers,Eminem,One_Direction,Ellie_Goulding,Justin_Bieber,Bryan_Adams,The_Beatles,Linkin_Park,Avicii,Ed_Sheeran,Taylor-Shift,Welshly Arms,Sis_Furler,Sia,Dua_Lipa,George_Michael,Mettalica,Guns_N_Roses,Lynyrd_Skynrd,Flo_Rida,Coldplay,The_Cranberries,Charlie_Puth,Kendrick_Lamer,The_Weeknd,Zedd,Imagine_Dragons,Alan_Walker,DJ_Snake,Mathe_Mole,Lauv,Michael_Buble,Camila_Cabello,Kina,Aaron_Smith,Sub_Urban,Tones_N_I,Naughty_Boy,Sia,Shawn_Mendes,Lady_Gaga,Lewis_Capaldi,Shakira,John_Legend,Drake,Vice_Stone,Selena_Gomez
Memories,-0.5,-0.5,-0.1,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closer,0.6,0.8,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rap God,0.5,0,1,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steal My Girl,1,1,0.2,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Love me like you do,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2U,0.4,0.8,0.7,0.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lose Yourself,0,0,1,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer of 69,0.3,0.7,0.5,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hey Jude,-0.6,0,0.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paper Cut,-0.6,-0.1,-0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
